length,height,edge,ni,thetax,thetay,thetaz,Ext. maxima,wavelgth ext. max.,Sca. maxima,wavelgth sca. max.,Abs. maxima,wavelgth abs. max.,EF. maxima,wavelgth ef. max.
137.0,14.7,0.81,1.84,27.0,6.0,15.0,35496.25702266523,838.0,12917.745125712197,838.0,22578.511896953034,838.0,1.286153409518574,862.0
134.0,16.2,0.89,1.94,48.0,39.0,33.0,12977.941537455366,868.0,4275.4115165334115,865.0,8730.240013199153,868.0,1.1043500246278535,907.0
156.0,19.3,0.82,1.33,27.0,90.0,27.0,1752.2277025099127,508.0,114.70866078541599,523.0,1648.5938404137971,505.0,1.0281973863992848,559.0
131.0,18.0,0.81,1.64,66.0,69.0,3.0,25879.44901380625,736.0,8787.740190434724,730.0,17142.814270751438,736.0,1.1689143248207117,766.0
138.0,10.0,0.33,1.38,27.0,36.0,12.0,22717.18878786963,808.0,4969.636688336799,808.0,17751.289607715233,805.0,1.1753153586085598,808.0
86.0,18.8,0.32,1.07,45.0,0.0,45.0,9784.130595545177,580.0,998.5986299895703,586.0,8816.80573347354,580.0,1.0851811943688354,586.0
134.0,17.7,0.55,1.54,36.0,72.0,0.0,17174.426836770173,748.0,6840.477157271647,742.0,10476.304059398839,751.0,1.1611016062938084,763.0
144.0,11.6,0.47,1.71,87.0,39.0,54.0,11116.308958876609,925.0,2985.7498581285445,916.0,8172.0615034047705,928.0,1.0869669299204339,970.0
122.0,14.6,0.11,1.72,81.0,90.0,42.0,14277.180112070386,937.0,3854.9913845593965,940.0,10422.564087426787,937.0,1.1291724138200543,943.0
76.0,15.9,0.91,1.82,21.0,42.0,3.0,6826.0119962385315,700.0,1056.0091381830925,700.0,5770.002858055439,700.0,1.038900938526488,736.0
134.0,17.6,0.14,1.97,69.0,63.0,45.0,6981.747408224847,514.0,1815.2275729058524,694.0,5875.3659682841535,511.0,1.0522481327265327,421.0
109.0,9.6,0.13,1.43,6.0,21.0,36.0,20373.97401263771,853.0,2742.561110915456,853.0,17631.412901722255,853.0,1.1519445551880452,853.0
121.0,12.8,0.78,1.79,15.0,24.0,36.0,24954.18934946665,811.0,8148.836678073723,811.0,16805.352671392928,811.0,1.2144711281760423,832.0
72.0,16.6,0.57,1.82,84.0,87.0,69.0,1600.5716184973098,520.0,297.2227973910426,712.0,1521.625670390086,520.0,1.0157003502035358,757.0
105.0,9.0,0.01,1.38,69.0,60.0,6.0,16801.85694700184,829.0,2029.3318375346644,829.0,14772.525109467177,829.0,1.1383692644975012,829.0
81.0,9.1,0.74,1.71,66.0,63.0,24.0,7792.283664197211,757.0,1516.0463742655038,757.0,6276.237289931707,757.0,1.0578678752413455,778.0
160.0,8.1,0.93,1.59,63.0,60.0,84.0,2475.0504375720225,898.0,293.08790286846533,898.0,2181.962534703557,898.0,1.0181893941812563,901.0
74.0,9.6,0.84,1.46,51.0,48.0,54.0,1522.5972281082563,664.0,125.64354568413773,664.0,1396.9536824241186,664.0,1.012230512123144,679.0
83.0,15.0,0.6,1.2,75.0,9.0,9.0,9936.393487329646,586.0,965.2362406800457,589.0,9005.622175120854,583.0,1.0808883843923627,601.0
73.0,8.2,0.56,1.57,9.0,36.0,12.0,12511.765154916684,730.0,2348.615497500661,730.0,10163.149657416023,730.0,1.1029910792362703,739.0
102.0,19.4,0.45,1.08,45.0,15.0,75.0,9423.351317373968,601.0,1381.546464993471,604.0,8072.013100984823,601.0,1.0784568769932574,604.0
82.0,14.2,0.5,1.73,57.0,21.0,87.0,7759.269121686836,802.0,2003.2606590646983,802.0,5756.008462622138,802.0,1.06053018079433,817.0
63.0,10.5,0.57,1.7,66.0,21.0,54.0,3415.167146879777,736.0,409.20190582954,736.0,3005.965241050237,736.0,1.0204955634732067,766.0
137.0,16.8,0.32,1.29,21.0,21.0,45.0,39843.98792376535,715.0,14252.199497647278,712.0,25661.410922094674,715.0,1.3196417585235756,718.0
153.0,12.3,0.99,1.79,66.0,39.0,90.0,5133.261148719048,919.0,1309.573075632044,919.0,3829.189418221771,922.0,1.0342938787132274,934.0
105.0,18.3,0.16,1.2,54.0,42.0,42.0,8985.466719793401,670.0,1811.1551322752111,673.0,7176.131049514673,670.0,1.0722733175375516,679.0
98.0,19.5,0.7,1.4,36.0,12.0,84.0,13085.817175103442,610.0,2944.3805177954127,613.0,10188.71552357572,610.0,1.1123741975874257,628.0
133.0,9.1,0.75,1.33,30.0,24.0,69.0,18155.137671751116,733.0,3516.0243085941947,733.0,14639.113363156921,733.0,1.1449407006122887,736.0
124.0,12.1,0.09,1.89,27.0,57.0,48.0,3582.639022832198,763.0,386.4940610157696,757.0,3236.6943529918426,763.0,1.0240876379545787,775.0
92.0,16.1,0.06,1.71,90.0,69.0,12.0,36871.48660715432,865.0,11807.247546650524,865.0,25064.239060503798,865.0,1.3535334490813447,874.0
75.0,15.8,0.63,1.52,30.0,60.0,27.0,2566.1436025837415,625.0,347.3122152979972,628.0,2222.0770141678186,625.0,1.0248124580554696,649.0
142.0,8.5,0.24,1.67,0.0,33.0,15.0,9619.284555596056,721.0,4069.9472663170054,958.0,8224.31103767516,724.0,1.0396463567534155,733.0
150.0,14.6,0.91,2.0,33.0,84.0,72.0,15900.415835710715,955.0,6317.3199787697085,955.0,9583.095856941007,955.0,1.1357863406842983,973.0
143.0,14.2,0.75,1.78,9.0,39.0,12.0,31073.616255929548,835.0,15138.92952606098,835.0,15934.686729868568,835.0,1.2905089251355117,856.0
70.0,9.7,0.47,1.05,39.0,33.0,45.0,2368.6610282896645,589.0,89.85809997425622,592.0,2280.2286128006112,589.0,1.019084456044579,592.0
74.0,15.5,0.06,1.37,18.0,42.0,90.0,20726.855024721583,688.0,3984.7404609284313,688.0,16742.11456379315,688.0,1.1937452435056655,694.0
148.0,18.7,0.65,1.52,84.0,54.0,90.0,3207.391437522763,505.0,574.4704128133474,724.0,2925.384818547443,502.0,1.0261700313137505,733.0
98.0,9.9,0.46,1.06,54.0,21.0,54.0,8054.557770315528,610.0,1087.799704179778,613.0,6993.733721663004,610.0,1.0613862018795366,613.0
120.0,18.3,0.64,1.58,24.0,15.0,0.0,37748.2164816872,721.0,14617.805720391156,721.0,23148.381192717934,724.0,1.30398956107257,742.0
125.0,17.9,0.21,1.9,9.0,54.0,81.0,55736.84213585807,991.0,26101.459472248167,988.0,29774.536808260316,994.0,1.0523702837473312,448.0
79.0,8.2,0.17,1.69,30.0,51.0,18.0,3929.843736809286,928.0,293.77500754098446,925.0,3639.1773616478167,928.0,1.0308148369872472,934.0
69.0,12.1,0.2,1.96,3.0,63.0,6.0,2443.8014685665908,934.0,268.4156939559507,931.0,2176.431060629975,934.0,1.0208734279895424,955.0
93.0,10.4,0.87,1.13,12.0,51.0,15.0,2907.827211018959,604.0,173.28905753418167,607.0,2738.769772552202,604.0,1.0266922846164919,607.0
135.0,16.7,0.29,1.23,3.0,45.0,9.0,28534.85039866196,691.0,10628.46223659264,691.0,17906.38816206932,691.0,1.247155052850433,694.0
94.0,15.5,0.72,1.0,48.0,18.0,57.0,2993.3674379092517,541.0,160.44948582093684,550.0,2848.3038647192107,541.0,1.028657331398388,547.0
112.0,17.6,0.22,1.1,54.0,12.0,18.0,23547.498191995353,640.0,4110.05070579506,643.0,19477.361732642432,637.0,1.1735466559458703,646.0
95.0,18.7,0.4,1.95,6.0,51.0,60.0,25599.6286417813,835.0,9583.856185145092,832.0,16048.368345455685,838.0,1.2248840962072896,874.0
83.0,12.3,0.86,1.21,45.0,30.0,81.0,2916.4824884279224,595.0,181.78638753981386,598.0,2737.9501994297148,595.0,1.0271617017683548,604.0
104.0,9.7,0.49,1.02,60.0,12.0,21.0,9985.711857536071,634.0,656.5467206129797,637.0,9331.679619779952,634.0,1.0664759283211407,634.0
111.0,19.7,0.63,1.57,18.0,45.0,78.0,34093.03384389218,670.0,16723.467251237395,667.0,17393.564533688972,670.0,1.281318257499851,697.0
130.0,9.3,0.68,1.91,21.0,3.0,6.0,30041.860591522953,973.0,7137.604686359122,973.0,22904.25590516383,973.0,1.2479529233817697,985.0
131.0,18.4,0.24,1.79,0.0,84.0,15.0,5019.2215714643635,511.0,2333.834148617277,940.0,4458.710928198179,508.0,1.0448732764742203,952.0
109.0,16.8,0.4,1.52,78.0,6.0,90.0,1814.1379673464237,511.0,678.53411905186,766.0,1713.461712762106,508.0,1.0212970695674572,775.0
107.0,18.0,1.0,1.44,75.0,66.0,69.0,1702.1205552567458,538.0,136.35694675605282,661.0,1640.2037444040368,538.0,1.01774624194245,598.0
63.0,13.2,0.12,1.49,12.0,78.0,36.0,3127.0830281918606,721.0,438.121653110617,721.0,2688.9613750812437,721.0,1.0285990805004928,730.0
96.0,18.0,0.92,1.22,30.0,33.0,42.0,4861.83037304226,595.0,420.61965426834104,598.0,4450.101731540682,595.0,1.04892202641277,604.0
156.0,9.5,0.82,1.83,18.0,0.0,84.0,27293.488626476093,958.0,6047.902352807294,958.0,21245.5862736688,958.0,1.2075867078464284,970.0
152.0,13.5,0.58,1.56,30.0,15.0,69.0,27129.352412525375,838.0,8205.237074496188,823.0,19411.798726106314,841.0,1.2342300555923726,874.0
73.0,11.9,0.45,1.74,54.0,15.0,3.0,19861.07614739468,805.0,3988.2622323630985,805.0,15872.813915031582,805.0,1.1309642218508087,823.0
139.0,19.9,0.97,1.37,75.0,15.0,15.0,30523.30791031537,670.0,9295.11038426388,670.0,21228.19752605149,670.0,1.2361915288291736,682.0
69.0,11.4,0.53,1.13,66.0,6.0,39.0,3059.793681930724,586.0,126.22373497218086,592.0,2940.143750205564,586.0,1.0263160717121602,595.0
116.0,8.9,0.86,1.76,3.0,48.0,33.0,11432.263331980224,820.0,2344.3952184625978,820.0,9087.868113517627,820.0,1.1049201185099153,835.0
73.0,18.0,0.68,1.92,66.0,57.0,0.0,16564.96116228089,727.0,4833.999095853835,727.0,11730.962066427057,727.0,1.0640644077611014,787.0
